Time Step,Quiet Agents,Jailed Agents,Active Agents
0,1120,0,0
1,1120,0,0
2,1120,0,0
3,1120,0,0
4,1120,0,0
5,1120,0,0
6,1120,0,0
7,1120,0,0
8,1120,0,0
9,1120,0,0
10,1120,0,0
11,1120,0,0
12,1120,0,0
13,1120,0,0
14,1120,0,0
15,1120,0,0
16,1120,0,0
17,1120,0,0
18,1120,0,0
19,1120,0,0
20,1120,0,0
21,1120,0,0
22,1120,0,0
23,1120,0,0
24,1120,0,0
25,1120,0,0
26,1120,0,0
27,1120,0,0
28,1120,0,0
29,1120,0,0
30,1120,0,0
31,1120,0,0
32,1120,0,0
33,1120,0,0
34,1120,0,0
35,1120,0,0
36,1120,0,0
37,1120,0,0
38,1120,0,0
39,1120,0,0
40,1120,0,0
41,1120,0,0
42,1120,0,0
43,1120,0,0
44,1120,0,0
45,1120,0,0
46,1120,0,0
47,1120,0,0
48,1120,0,0
49,1120,0,0
50,1120,0,0
51,1120,0,0
52,1120,0,0
53,1120,0,0
54,1120,0,0
55,1120,0,0
56,1120,0,0
57,1120,0,0
58,1120,0,0
59,1120,0,0
60,1120,0,0
61,1120,0,0
62,1120,0,0
63,1120,0,0
64,1120,0,0
65,1120,0,0
66,1120,0,0
67,1120,0,0
68,1120,0,0
69,1120,0,0
70,1120,0,0
71,1120,0,0
72,1120,0,0
73,1120,0,0
74,1120,0,0
75,1120,0,0
76,1120,0,0
77,1120,0,0
78,1120,0,0
79,1120,0,0
80,1120,0,0
81,1120,0,0
82,1025,73,22
83,1025,95,0
84,1025,95,0
85,1025,95,0
86,1025,95,0
87,1025,95,0
88,1025,95,0
89,1025,95,0
90,1025,95,0
91,1025,95,0
92,1025,95,0
93,1025,95,0
94,1025,95,0
95,1025,95,0
96,1025,95,0
97,1025,95,0
98,1025,95,0
99,1025,95,0
100,1025,95,0
101,1025,95,0
102,1025,95,0
103,1025,95,0
104,1025,95,0
105,1025,95,0
106,1025,95,0
107,1025,95,0
108,1025,95,0
109,1025,95,0
110,1025,95,0
111,1025,95,0
112,1025,95,0
113,1025,95,0
114,1025,95,0
115,1025,95,0
116,1025,95,0
117,1025,95,0
118,1025,95,0
119,1025,95,0
120,1025,95,0
121,1025,95,0
122,1025,95,0
123,1025,95,0
124,1025,95,0
125,1025,95,0
126,1025,95,0
127,1025,95,0
128,1025,95,0
129,1025,95,0
130,1025,95,0
131,1025,95,0
132,1025,95,0
133,1025,95,0
134,1025,95,0
135,1025,95,0
136,1024,96,0
137,1024,96,0
138,1024,96,0
139,1024,96,0
140,1024,96,0
141,1024,96,0
142,1024,96,0
143,1024,96,0
144,1024,96,0
145,1024,96,0
146,1024,96,0
147,1024,96,0
148,1024,96,0
149,1024,96,0
150,1024,96,0
151,1024,96,0
152,1024,96,0
153,1024,96,0
154,1024,96,0
155,1024,96,0
156,1024,96,0
157,1024,96,0
158,1024,96,0
159,1024,96,0
160,1024,96,0
161,1024,96,0
162,1024,96,0
163,1024,96,0
164,1024,96,0
165,1024,96,0
166,1024,96,0
167,1024,96,0
168,1024,96,0
169,1024,96,0
170,1024,96,0
171,1024,96,0
172,1024,96,0
173,1024,96,0
174,1024,96,0
175,1024,96,0
176,1024,96,0
177,1024,96,0
178,1024,96,0
179,1024,96,0
180,1024,96,0
181,1024,96,0
182,1024,96,0
183,1024,96,0
184,1024,96,0
185,1024,96,0
186,1024,96,0
187,1024,96,0
188,1024,96,0
189,1024,96,0
190,1024,96,0
191,1024,96,0
192,1024,96,0
193,1024,96,0
194,1024,96,0
195,1024,96,0
196,1024,96,0
197,1024,96,0
198,1024,96,0
199,1024,96,0
