time_step,quiet,jail,active
0,1044,22,54
1,703,78,339
2,580,134,406
3,582,187,351
4,580,241,299
5,584,291,245
6,590,337,193
7,580,394,146
8,605,440,75
9,627,462,31
10,648,467,5
11,661,459,0
12,682,438,0
13,699,421,0
14,712,407,1
15,741,379,0
16,763,355,2
17,779,341,0
18,801,319,0
19,814,305,1
20,835,285,0
21,852,266,2
22,864,254,2
23,885,235,0
24,897,222,1
25,915,205,0
26,941,179,0
27,940,165,15
28,829,179,112
29,637,223,260
30,598,261,261
31,603,294,223
32,607,322,191
33,606,360,154
34,607,398,115
35,630,434,56
36,661,454,5
37,683,436,1
38,706,414,0
39,723,397,0
40,738,382,0
41,753,367,0
42,767,353,0
43,788,332,0
44,802,318,0
45,816,303,1
46,829,291,0
47,849,271,0
48,876,244,0
49,876,234,10
50,828,245,47
51,743,276,101
52,626,318,176
53,605,357,158
54,619,392,109
55,632,433,55
56,682,430,8
57,706,411,3
58,731,389,0
59,759,361,0
60,780,340,0
61,799,320,1
62,816,304,0
63,835,284,1
64,855,265,0
65,866,254,0
66,882,238,0
67,891,228,1
68,906,214,0
69,874,213,33
70,808,234,78
71,710,269,141
72,625,319,176
73,602,363,155
74,612,404,104
75,626,442,52
76,665,453,2
77,689,431,0
78,717,403,0
79,737,383,0
80,754,365,1
81,785,335,0
82,810,310,0
83,833,286,1
84,819,283,18
85,834,285,1
86,816,282,22
87,814,284,22
88,833,286,1
89,850,270,0
90,873,247,0
91,890,229,1
92,908,212,0
93,920,200,0
94,934,186,0
95,948,171,1
96,969,150,1
97,983,136,1
98,999,119,2
99,981,112,27
100,921,127,72
101,705,158,257
102,586,208,326
103,583,261,276
104,594,303,223
105,594,349,177
106,606,388,126
107,629,425,66
108,665,439,16
109,688,432,0
110,703,417,0
111,718,401,1
112,743,377,0
113,754,365,1
114,778,342,0
115,802,317,1
116,807,313,0
117,829,291,0
118,850,270,0
119,857,262,1
120,872,248,0
121,887,232,1
122,903,216,1
123,930,190,0
124,939,181,0
125,953,167,0
126,961,159,0
127,981,139,0
128,975,130,15
129,879,148,93
130,683,187,250
131,597,224,299
132,595,265,260
133,592,308,220
134,597,346,177
135,594,388,138
136,614,426,80
137,638,457,25
138,664,456,0
139,680,440,0
140,703,415,2
141,717,403,0
142,732,387,1
143,741,371,8
144,756,363,1
145,777,343,0
146,793,327,0
147,808,312,0
148,822,298,0
149,836,284,0
150,864,256,0
151,884,236,0
152,905,214,1
153,921,198,1
154,937,183,0
155,957,163,0
156,973,147,0
157,997,122,1
158,1009,111,0
159,1021,96,3
160,1040,80,0
161,1048,72,0
162,1062,58,0
163,1068,52,0
164,995,61,64
165,723,100,297
166,575,160,385
167,585,209,326
168,586,258,276
169,586,306,228
170,587,353,180
171,594,398,128
172,610,445,65
173,639,473,8
174,668,452,0
175,687,433,0
176,697,422,1
177,711,409,0
178,724,395,1
179,743,377,0
180,760,360,0
181,777,343,0
182,797,322,1
183,819,301,0
184,843,276,1
185,861,259,0
186,875,244,1
187,895,225,0
188,922,197,1
189,934,185,1
190,933,171,16
191,891,185,44
192,815,211,94
193,659,245,216
194,598,284,238
195,598,322,200
196,606,352,162
197,604,388,128
198,607,430,83
199,634,467,19
