time_step,quiet,jail,active
0,1114,5,1
1,1112,7,1
2,1113,7,0
3,1113,6,1
4,1113,7,0
5,1112,8,0
6,1112,8,0
7,1111,9,0
8,1111,9,0
9,1112,8,0
10,1111,9,0
11,1111,9,0
12,1111,9,0
13,1111,9,0
14,1110,9,1
15,1109,11,0
16,1110,10,0
17,1110,10,0
18,1111,9,0
19,1109,10,1
20,1109,11,0
21,1109,11,0
22,1109,11,0
23,1110,10,0
24,1108,12,0
25,1109,11,0
26,1108,12,0
27,1108,12,0
28,1110,10,0
29,1110,10,0
30,1110,10,0
31,1109,11,0
32,1110,10,0
33,1110,10,0
34,1111,9,0
35,1113,7,0
36,1111,9,0
37,1112,8,0
38,1112,8,0
39,1112,8,0
40,1112,8,0
41,1111,9,0
42,1113,7,0
43,1112,8,0
44,1111,9,0
45,1111,9,0
46,1110,9,1
47,1110,10,0
48,1109,11,0
49,1111,9,0
50,1110,9,1
51,1110,10,0
52,1110,10,0
53,1111,9,0
54,1109,10,1
55,1108,12,0
56,1109,11,0
57,1106,11,3
58,1043,28,49
59,876,82,162
60,746,142,232
61,752,202,166
62,784,251,85
63,816,291,13
64,830,290,0
65,840,280,0
66,842,278,0
67,854,266,0
68,863,257,0
69,879,241,0
70,886,234,0
71,896,224,0
72,909,211,0
73,925,195,0
74,941,179,0
75,955,165,0
76,962,157,1
77,978,142,0
78,984,136,0
79,993,127,0
80,1004,116,0
81,1015,104,1
82,1026,94,0
83,1034,86,0
84,1044,76,0
85,1060,59,1
86,1070,50,0
87,1061,48,11
88,1039,55,26
89,974,73,73
90,908,112,100
91,854,159,107
92,835,210,75
93,822,249,49
94,841,266,13
95,853,267,0
96,865,255,0
97,878,242,0
98,889,231,0
99,898,222,0
100,913,207,0
101,923,197,0
102,934,186,0
103,942,178,0
104,949,171,0
105,944,167,9
106,920,172,28
107,936,179,5
108,946,173,1
109,959,161,0
110,979,141,0
111,987,133,0
112,998,122,0
113,1008,112,0
114,1024,96,0
115,1033,87,0
116,1046,73,1
117,1053,67,0
118,1066,54,0
119,1068,52,0
120,1075,45,0
121,1081,39,0
122,1062,42,16
123,1063,54,3
124,1051,58,11
125,997,72,51
126,918,107,95
127,803,158,159
128,772,210,138
129,779,262,79
130,802,298,20
131,823,297,0
132,837,283,0
133,846,274,0
134,860,260,0
135,871,249,0
136,887,233,0
137,894,226,0
138,907,213,0
139,920,200,0
140,933,187,0
141,946,174,0
142,956,164,0
143,971,149,0
144,989,131,0
145,999,121,0
146,1003,117,0
147,1014,106,0
148,1021,96,3
149,985,101,34
150,912,129,79
151,891,163,66
152,896,197,27
153,908,211,1
154,925,195,0
155,940,180,0
156,952,168,0
157,968,152,0
158,974,146,0
159,982,138,0
160,990,130,0
161,997,123,0
162,1000,120,0
163,1004,116,0
164,1008,112,0
165,1020,100,0
166,1028,92,0
167,1037,82,1
168,1038,82,0
169,1050,70,0
170,1051,69,0
171,1062,58,0
172,1068,52,0
173,1074,46,0
174,1079,41,0
175,1084,36,0
176,1092,28,0
177,1097,23,0
178,1100,19,1
179,1104,16,0
180,1104,14,2
181,1108,12,0
182,1108,12,0
183,1108,12,0
184,1101,14,5
185,1032,30,58
186,873,78,169
187,756,137,227
188,763,189,168
189,778,247,95
190,801,291,28
191,824,296,0
192,839,281,0
193,852,267,1
194,860,260,0
195,869,251,0
196,878,241,1
197,885,234,1
198,895,225,0
199,902,218,0
