Time Step,Quiet Agents,Jailed Agents,Active Agents
0,612,50,458
1,331,109,680
2,332,167,621
3,332,224,564
4,334,280,506
5,344,325,451
6,338,375,407
7,344,419,357
8,340,468,312
9,346,512,262
10,346,554,220
11,353,590,177
12,352,629,139
13,370,668,82
14,386,692,42
15,414,700,6
16,439,680,1
17,465,652,3
18,491,629,0
19,520,600,0
20,545,573,2
21,561,559,0
22,589,531,0
23,610,508,2
24,627,475,18
25,628,463,29
26,595,469,56
27,524,493,103
28,398,509,213
29,387,515,218
30,368,535,217
31,356,569,195
32,370,590,160
33,380,602,138
34,388,609,123
35,387,632,101
36,393,649,78
37,418,652,50
38,438,654,28
39,475,639,6
40,516,602,2
41,547,572,1
42,570,546,4
43,592,526,2
44,619,499,2
45,640,474,6
46,636,475,9
47,655,461,4
48,665,449,6
49,685,429,6
50,711,407,2
51,737,381,2
52,760,357,3
53,783,337,0
54,814,305,1
55,840,279,1
56,867,251,2
57,879,240,1
58,899,220,1
59,808,210,102
60,438,253,429
61,350,292,478
62,347,334,439
63,347,376,397
64,352,413,355
65,353,449,318
66,358,480,282
67,357,512,251
68,349,550,221
69,360,580,180
70,360,607,153
71,366,633,121
72,381,657,82
73,412,674,34
74,445,674,1
75,473,646,1
76,494,623,3
77,524,596,0
78,543,574,3
79,525,555,40
80,494,556,70
81,433,581,106
82,412,606,102
83,391,634,95
84,417,630,73
85,445,630,45
86,468,634,18
87,494,611,15
88,516,595,9
89,556,563,1
90,592,528,0
91,621,498,1
92,657,460,3
93,679,437,4
94,703,415,2
95,728,390,2
96,745,374,1
97,760,359,1
98,762,342,16
99,645,349,126
100,407,384,329
101,359,415,346
102,347,455,318
103,355,488,277
104,365,513,242
105,366,536,218
106,375,550,195
107,368,572,180
108,369,593,158
109,363,622,135
110,387,644,89
111,398,663,59
112,418,673,29
113,455,662,3
114,486,633,1
115,510,608,2
116,537,583,0
117,558,561,1
118,586,534,0
119,614,504,2
120,635,482,3
121,655,463,2
122,674,435,11
123,616,420,84
124,460,446,214
125,367,474,279
126,368,496,256
127,362,523,235
128,355,558,207
129,368,579,173
130,365,605,150
131,377,624,119
132,384,640,96
133,409,653,58
134,410,670,40
135,430,670,20
136,466,653,1
137,503,615,2
138,527,592,1
139,556,560,4
140,569,548,3
141,569,547,4
142,603,517,0
143,635,483,2
144,649,470,1
145,671,448,1
146,694,423,3
147,720,400,0
148,743,376,1
149,758,361,1
150,707,355,58
151,491,379,250
152,356,413,351
153,357,446,317
154,369,464,287
155,352,501,267
156,353,538,229
157,371,558,191
158,363,584,173
159,376,597,147
160,371,623,126
161,382,644,94
162,413,655,52
163,407,678,35
164,457,660,3
165,489,627,4
166,507,612,1
167,537,581,2
168,552,568,0
169,568,551,1
170,586,524,10
171,595,509,16
172,577,515,28
173,553,515,52
174,538,528,54
175,494,545,81
176,416,567,137
177,400,582,138
178,398,601,121
179,395,622,103
180,411,632,77
181,435,625,60
182,454,625,41
183,482,620,18
184,515,603,2
185,551,567,2
186,592,526,2
187,617,502,1
188,649,468,3
189,673,446,1
190,699,420,1
191,709,402,9
192,717,391,12
193,695,398,27
194,629,406,85
195,506,434,180
196,370,470,280
197,360,499,261
198,365,523,232
199,360,552,208
