Time Step,Quiet Agents,Jailed Agents,Active Agents
0,1120,0,0
1,1120,0,0
2,1120,0,0
3,1120,0,0
4,1120,0,0
5,1120,0,0
6,1120,0,0
7,1120,0,0
8,1120,0,0
9,1120,0,0
10,1120,0,0
11,1120,0,0
12,1120,0,0
13,1120,0,0
14,1120,0,0
15,1120,0,0
16,1120,0,0
17,1120,0,0
18,1120,0,0
19,1120,0,0
20,1120,0,0
21,1120,0,0
22,1120,0,0
23,1120,0,0
24,1120,0,0
25,1120,0,0
26,1120,0,0
27,1120,0,0
28,1120,0,0
29,1120,0,0
30,1120,0,0
31,1120,0,0
32,1120,0,0
33,1120,0,0
34,1120,0,0
35,1120,0,0
36,1120,0,0
37,1120,0,0
38,1120,0,0
39,1120,0,0
40,1120,0,0
41,1120,0,0
42,1120,0,0
43,1120,0,0
44,1120,0,0
45,1120,0,0
46,1120,0,0
47,1120,0,0
48,1120,0,0
49,1120,0,0
50,1120,0,0
51,1120,0,0
52,1120,0,0
53,1120,0,0
54,1120,0,0
55,1120,0,0
56,1120,0,0
57,1120,0,0
58,1120,0,0
59,1120,0,0
60,1120,0,0
61,1120,0,0
62,1120,0,0
63,1120,0,0
64,1120,0,0
65,1120,0,0
66,1120,0,0
67,1120,0,0
68,1120,0,0
69,1120,0,0
70,1120,0,0
71,1120,0,0
72,1120,0,0
73,1120,0,0
74,1120,0,0
75,1120,0,0
76,1120,0,0
77,1120,0,0
78,1120,0,0
79,1120,0,0
80,1120,0,0
81,1120,0,0
82,918,87,115
83,598,191,331
84,364,309,447
85,343,427,350
86,347,545,228
87,380,661,79
88,395,723,2
89,395,725,0
90,395,725,0
91,395,725,0
92,395,725,0
93,395,725,0
94,395,725,0
95,395,725,0
96,395,725,0
97,395,725,0
98,395,725,0
99,395,725,0
100,395,725,0
101,395,725,0
102,395,725,0
103,395,725,0
104,395,725,0
105,395,725,0
106,395,725,0
107,395,725,0
108,395,725,0
109,395,725,0
110,395,725,0
111,395,725,0
112,395,725,0
113,395,725,0
114,395,725,0
115,395,725,0
116,395,725,0
117,395,725,0
118,395,725,0
119,395,725,0
120,395,725,0
121,395,725,0
122,395,725,0
123,395,725,0
124,395,725,0
125,395,725,0
126,395,725,0
127,395,725,0
128,395,725,0
129,395,725,0
130,395,725,0
131,395,725,0
132,395,725,0
133,395,725,0
134,395,725,0
135,395,725,0
136,395,725,0
137,395,725,0
138,395,725,0
139,395,725,0
140,395,725,0
141,395,725,0
142,395,725,0
143,395,725,0
144,395,725,0
145,395,725,0
146,395,725,0
147,395,725,0
148,395,725,0
149,395,725,0
150,395,725,0
151,395,725,0
152,395,725,0
153,395,725,0
154,395,725,0
155,395,725,0
156,395,725,0
157,395,725,0
158,395,725,0
159,395,725,0
160,395,725,0
161,395,725,0
162,395,725,0
163,395,725,0
164,395,725,0
165,395,725,0
166,395,725,0
167,395,725,0
168,395,725,0
169,395,725,0
170,395,725,0
171,395,725,0
172,395,725,0
173,395,725,0
174,395,725,0
175,395,725,0
176,395,725,0
177,395,725,0
178,395,725,0
179,395,725,0
180,395,725,0
181,395,725,0
182,395,725,0
183,395,725,0
184,395,725,0
185,395,725,0
186,395,725,0
187,395,725,0
188,395,725,0
189,395,725,0
190,395,725,0
191,395,725,0
192,395,725,0
193,395,725,0
194,395,725,0
195,395,725,0
196,395,725,0
197,395,725,0
198,395,725,0
199,395,725,0
