Time Step,Quiet Agents,Jailed Agents,Active Agents
0,1120,0,0
1,1120,0,0
2,1120,0,0
3,1119,1,0
4,1119,1,0
5,1119,1,0
6,1119,1,0
7,1118,2,0
8,1118,2,0
9,1117,3,0
10,1114,6,0
11,1112,8,0
12,1110,10,0
13,1109,11,0
14,1109,11,0
15,1109,11,0
16,1108,11,1
17,1107,12,1
18,1105,15,0
19,1102,18,0
20,1097,23,0
21,1096,24,0
22,1096,24,0
23,1095,25,0
24,1094,26,0
25,1091,29,0
26,1087,33,0
27,1084,35,1
28,1082,38,0
29,1081,38,1
30,1081,39,0
31,1077,42,1
32,1076,44,0
33,1074,46,0
34,1071,48,1
35,1070,50,0
36,1067,53,0
37,1066,53,1
38,1062,58,0
39,1057,62,1
40,1055,65,0
41,1051,69,0
42,1048,71,1
43,1045,74,1
44,1045,75,0
45,1042,78,0
46,1039,79,2
47,1038,82,0
48,1036,84,0
49,1033,87,0
50,1032,88,0
51,1031,89,0
52,1031,89,0
53,1030,90,0
54,1027,93,0
55,1022,98,0
56,1021,99,0
57,1020,100,0
58,1018,101,1
59,1014,105,1
60,1013,107,0
61,1007,113,0
62,1006,114,0
63,1002,118,0
64,999,120,1
65,994,126,0
66,992,128,0
67,988,132,0
68,987,133,0
69,986,134,0
70,984,136,0
71,981,139,0
72,977,142,1
73,976,144,0
74,971,148,1
75,970,150,0
76,968,152,0
77,964,155,1
78,963,157,0
79,959,161,0
80,957,163,0
81,957,163,0
82,954,166,0
83,950,170,0
84,946,174,0
85,941,177,2
86,938,182,0
87,938,182,0
88,938,182,0
89,934,186,0
90,928,192,0
91,926,194,0
92,923,197,0
93,922,198,0
94,917,203,0
95,914,206,0
96,910,210,0
97,909,211,0
98,907,213,0
99,906,214,0
100,904,216,0
101,901,218,1
102,896,224,0
103,893,226,1
104,889,230,1
105,887,233,0
106,886,234,0
107,883,236,1
108,879,241,0
109,876,243,1
110,875,245,0
111,870,250,0
112,868,251,1
113,866,254,0
114,865,255,0
115,863,257,0
116,859,260,1
117,858,262,0
118,857,263,0
119,854,266,0
120,852,268,0
121,852,268,0
122,850,270,0
123,848,272,0
124,847,273,0
125,844,276,0
126,844,276,0
127,842,278,0
128,841,278,1
129,838,282,0
130,834,283,3
131,831,288,1
132,826,294,0
133,823,297,0
134,822,298,0
135,820,300,0
136,817,303,0
137,814,306,0
138,813,307,0
139,809,310,1
140,806,314,0
141,803,317,0
142,800,320,0
143,797,322,1
144,792,328,0
145,789,330,1
146,788,332,0
147,786,333,1
148,783,337,0
149,779,341,0
150,777,343,0
151,776,344,0
152,774,346,0
153,771,348,1
154,769,351,0
155,768,352,0
156,767,353,0
157,765,355,0
158,762,358,0
159,760,359,1
160,757,363,0
161,754,366,0
162,748,372,0
163,746,374,0
164,745,375,0
165,743,376,1
166,736,383,1
167,734,386,0
168,732,388,0
169,732,388,0
170,731,389,0
171,727,393,0
172,724,396,0
173,723,397,0
174,720,400,0
175,719,401,0
176,715,405,0
177,712,408,0
178,712,408,0
179,707,412,1
180,704,416,0
181,702,418,0
182,701,419,0
183,700,420,0
184,696,423,1
185,693,427,0
186,691,429,0
187,690,430,0
188,687,433,0
189,683,436,1
190,680,440,0
191,676,444,0
192,675,445,0
193,673,447,0
194,671,449,0
195,669,451,0
196,667,452,1
197,664,456,0
198,662,458,0
199,662,458,0
